Sector,Giants,No Budget,Competition,Poor Market Fit,Acquisition Stagnation,Platform Dependency,Monetization Failure,Niche Limits,Execution Flaws,Trend Shifts,Toxicity/Trust Issues,Regulatory Pressure,Overhype,Start Year,End Year,Years in Business
Information,1,0,1,0,0,0,0,0,0,0,0,0,0,2011,2022,11
Information,1,0,0,0,1,0,0,0,0,0,0,0,0,2015,2021,6
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2015,2023,8
Information,1,0,1,0,0,0,0,0,0,0,0,0,0,2014,2020,6
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2013,2015,2
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2017,2022,5
Information,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,2015,2
Information,0,1,0,1,0,0,0,0,0,0,0,0,0,2012,2017,5
Information,1,0,0,0,0,0,0,1,0,0,0,0,0,1979,1984,5
Information,0,1,0,0,0,0,0,0,0,1,0,0,0,2012,2020,8
Information,0,0,1,0,0,0,0,0,0,0,0,0,0,2010,2019,9
Information,0,1,0,1,0,0,0,0,0,0,0,0,0,2012,2020,8
Information,1,0,0,0,0,1,0,1,0,0,0,0,0,2013,2019,6
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2013,2018,5
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2012,2022,10
Information,0,0,1,0,0,0,0,1,0,0,0,0,0,2006,2014,8
Information,0,0,0,1,0,0,0,0,0,0,0,0,0,2006,2013,7
Information,0,1,0,0,0,0,0,1,0,0,0,0,0,2005,2020,15
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2008,2012,4
Information,1,0,0,0,0,0,1,0,0,0,0,0,0,1998,2013,15
Information,0,1,0,0,0,0,0,1,0,0,0,0,0,2008,2010,2
Information,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2018,10
Information,0,1,0,1,0,0,0,0,0,1,0,0,0,2013,2018,5
Information,1,0,1,0,0,0,0,0,0,0,0,1,0,2014,2018,4
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2007,2020,13
Information,1,0,1,0,0,0,0,0,0,0,0,0,0,2011,2022,11
Information,1,0,0,0,1,0,0,0,0,0,0,0,0,2018,2023,5
Information,0,0,0,1,0,0,0,0,0,0,0,0,0,2010,2017,7
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2015,2023,8
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2007,2019,12
Information,1,0,0,0,0,1,0,0,0,0,0,0,0,2015,2020,5
Information,1,0,1,0,0,0,0,0,0,0,0,0,0,2012,2021,9
Information,0,0,0,1,0,0,0,0,0,0,0,0,0,2008,2016,8
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2018,2023,5
Information,1,0,1,0,0,0,0,1,0,0,0,0,0,2009,2019,10
Information,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,2022,7
Information,1,0,0,0,1,0,0,0,0,0,0,0,0,2015,2021,6
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,1998,2013,15
Information,1,0,0,0,0,1,0,0,0,0,0,0,0,2009,2017,8
Information,0,0,0,1,1,0,0,0,1,0,0,0,0,2007,2019,12
Information,1,1,0,0,0,0,0,0,0,0,0,0,0,2002,2008,6
Information,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,2018,5
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2006,2021,15
Information,1,0,0,1,0,0,0,0,0,0,0,0,0,2010,2017,7
Information,0,0,0,1,0,0,0,0,0,0,0,0,0,2008,2014,6
Information,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,2012,5
Information,1,0,1,0,0,0,0,0,0,0,0,0,0,2006,2021,15
Information,0,1,0,1,0,0,0,0,0,0,0,0,0,2006,2020,14
Information,1,1,0,1,0,0,0,0,0,0,0,0,0,2007,2019,12
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2011,2020,9
Information,1,0,1,0,0,0,0,0,0,0,0,0,0,2007,2022,15
Information,1,0,1,0,0,0,0,0,0,0,0,0,0,2000,2014,14
Information,0,1,0,1,0,0,0,0,0,0,0,0,0,2013,2019,6
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2012,2017,5
Information,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,2016,5
Information,0,1,0,1,0,0,0,0,0,0,1,0,0,2011,2021,10
Information,1,0,0,0,0,1,0,0,0,0,0,0,0,2013,2018,5
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2013,2019,6
Information,0,0,0,0,0,0,0,1,0,0,0,0,0,2010,2013,3
Information,1,0,0,0,0,1,0,0,0,0,0,0,0,2013,2016,3
Information,1,0,0,0,0,1,0,0,0,0,0,0,0,2012,2016,4
Information,1,0,1,0,0,0,0,0,0,0,0,0,0,2007,2021,14
Information,0,0,0,0,0,1,0,0,0,0,0,0,0,2009,2013,4
Information,1,0,1,0,0,0,0,0,0,0,0,0,0,2013,2019,6
Information,0,1,0,1,0,0,0,0,0,0,0,0,0,2009,2011,2
Information,1,0,0,0,0,0,0,0,0,0,0,0,0,2012,2017,5
